E_eV,v_m_s,dEdx_ref_eV_per_m,SN_eV_m2,nu_ref_s-1,CSDA_range_ref_m
4.168693834703e+02,8.421364385252e+05,3.829233728941e+02,3.829233728941e-20,3.867825831292e+05,2.177301778360e+00
4.365158322402e+02,8.617521959100e+05,3.918428040630e+02,3.918428040630e-20,3.867826370686e+05,2.228011579032e+00
4.570881896149e+02,8.818248543852e+05,4.009699954733e+02,4.009699954733e-20,3.867826935501e+05,2.279925076323e+00
4.786300923226e+02,9.023650559297e+05,4.103097864827e+02,4.103097864827e-20,3.867827526935e+05,2.333062875068e+00
5.000000000000e+02,9.222893744080e+05,4.193695347633e+02,4.193695347633e-20,3.867828113647e+05,2.384580415464e+00
5.011872336273e+02,9.233836903619e+05,4.198671291719e+02,4.198671291719e-20,3.867828146242e+05,2.387408379690e+00
5.248074602498e+02,9.448919011096e+05,4.296470909707e+02,4.296470909707e-20,3.867828794737e+05,2.442955260782e+00
5.495408738576e+02,9.669010911140e+05,4.396548573441e+02,4.396548573441e-20,3.867829473794e+05,2.499759577113e+00
5.754399373372e+02,9.894229288706e+05,4.608218057605e+02,4.608218057605e-20,3.961763478313e+05,2.557931362834e+00
6.025595860744e+02,1.012469354611e+06,4.572790950975e+02,4.572790950975e-20,3.841819477272e+05,2.618013782766e+00
6.309573444802e+02,1.036052586630e+06,4.503457544679e+02,4.503457544679e-20,3.697445376398e+05,2.681135835743e+00
6.606934480076e+02,1.060185127753e+06,4.490690105601e+02,4.490690105601e-20,3.603038242583e+05,2.748208053254e+00
6.918309709189e+02,1.084879771966e+06,4.527061793732e+02,4.527061793732e-20,3.549541875492e+05,2.817978579955e+00
7.244359600750e+02,1.110149611187e+06,4.605915222183e+02,4.605915222183e-20,3.529164662377e+05,2.888166267942e+00
7.585775750292e+02,1.136008042203e+06,5.241860235625e+02,5.241860235625e-20,3.925016839958e+05,2.956675212929e+00
7.943282347243e+02,1.162468773763e+06,5.910937032045e+02,5.910937032045e-20,4.325263102489e+05,3.021772124114e+00
8.317637711027e+02,1.189545833841e+06,6.582924390487e+02,6.582924390487e-20,4.707335798039e+05,3.082032435026e+00
8.709635899561e+02,1.217253577063e+06,7.254633542026e+02,7.254633542026e-20,5.069579211783e+05,3.138666034296e+00
9.120108393559e+02,1.245606692312e+06,7.601139898474e+02,7.601139898474e-20,5.190811833624e+05,3.194099786971e+00
9.549925860214e+02,1.274620210499e+06,7.994773832900e+02,7.994773832900e-20,5.335349516114e+05,3.249491155797e+00
