E_eV,SN_opt3_eV_m2,SN_opt4_eV_m2,ratio_opt4_over_opt3
5.495408738576e+05,2.043457990973e-19,2.043457990973e-19,1.000000000000e+00
5.754399373372e+05,1.970237157801e-19,1.970237157801e-19,1.000000000000e+00
6.025595860744e+05,1.899393568536e-19,1.899393568536e-19,1.000000000000e+00
6.309573444802e+05,1.830768138059e-19,1.830768138059e-19,1.000000000000e+00
6.606934480076e+05,1.764306805544e-19,1.764306805544e-19,1.000000000000e+00
6.918309709189e+05,1.703390909862e-19,1.703390909862e-19,1.000000000000e+00
7.244359600750e+05,1.649956957239e-19,1.649956957239e-19,1.000000000000e+00
7.585775750292e+05,1.597627035209e-19,1.597627035209e-19,1.000000000000e+00
7.943282347243e+05,1.546452171141e-19,1.546452171141e-19,1.000000000000e+00
8.317637711027e+05,1.496192637552e-19,1.496192637552e-19,1.000000000000e+00
8.709635899561e+05,1.447082341166e-19,1.447082341166e-19,1.000000000000e+00
9.120108393559e+05,1.399230197656e-19,1.399230197656e-19,1.000000000000e+00
9.549925860214e+05,1.352647378565e-19,1.352647378565e-19,1.000000000000e+00
1.000000000000e+06,1.307338455012e-19,1.307338455012e-19,1.000000000000e+00
