event_id,radial_kinetic_energy_eV,axial_kinetic_energy_eV,total_kinetic_energy_eV,extraction_time_ns
563,1.853251731686e+03,4.827472549871e+04,5.012797723039e+04,5.265068513953e+01
564,2.034266073059e+04,3.686872729319e+04,5.721138802378e+04,5.102577688994e+01
569,6.753786955758e+02,5.096558444691e+04,5.164096314249e+04,5.235864277778e+01
570,1.062467410881e+03,5.635548004199e+04,5.741794745287e+04,5.179303975869e+01
572,2.551670363543e+02,6.803256697199e+04,6.828773400834e+04,4.819295591477e+01
575,2.222310290317e+03,7.673527600228e+04,7.895758629260e+04,4.613123942451e+01
576,3.819974602788e+03,7.491675012030e+04,7.873672472309e+04,4.652757715230e+01
577,1.878020679923e+02,3.589775757442e+04,3.608555964241e+04,5.611163367768e+01
580,1.267366360027e+04,7.384260171107e+04,8.651626531134e+04,4.710980633044e+01
581,5.058261405952e+03,8.702502558571e+04,9.208328699166e+04,4.341527599606e+01
584,1.496965168836e+03,4.919665127147e+04,5.069361644031e+04,5.267862174892e+01
586,3.982003477500e+02,9.949744716567e+04,9.989564751342e+04,4.130556641269e+01
588,6.837976826154e+03,5.632676651658e+04,6.316474334274e+04,5.145547787240e+01
590,5.077847202385e+03,8.272332434615e+04,8.780117154853e+04,4.574792950485e+01
591,3.140616313723e+03,4.519073101653e+04,4.833134733026e+04,5.430435103187e+01
593,2.384691093779e+03,8.237498096252e+04,8.475967205630e+04,4.417613117464e+01
595,1.094104670202e+03,6.537772207389e+04,6.647182674409e+04,4.824128653582e+01
599,2.815579553064e+03,7.084675356519e+04,7.366233311825e+04,4.752869983760e+01
600,3.368760335891e+02,8.834348002686e+04,8.868035606045e+04,4.305229643614e+01
601,2.653587744562e+02,6.913507687270e+04,6.940043564715e+04,4.718987011216e+01
602,2.245972773240e+03,5.350491532642e+04,5.575088809966e+04,5.052738113666e+01
605,9.629798856518e+02,4.481581808562e+04,4.577879797127e+04,5.307293942145e+01
610,6.782027464695e+01,7.365509193008e+04,7.372291220473e+04,4.694479316545e+01
611,1.917427437595e+03,8.880494605349e+04,9.072237349108e+04,4.336043177201e+01
612,3.153667398567e+02,5.170489323448e+04,5.202025997433e+04,5.190375416160e+01
613,3.930505905809e+02,2.788055788685e+04,2.827360847743e+04,5.929500410564e+01
614,1.302531052669e+03,9.033751939832e+04,9.164005045099e+04,4.353221379111e+01
615,1.588446724393e+03,1.088498319221e+05,1.104382786465e+05,3.997966933417e+01
616,3.342900288002e+03,7.850159541003e+04,8.184449569803e+04,4.576417698349e+01
619,2.956617205116e+03,4.234122904059e+04,4.529784624570e+04,5.323985042121e+01
621,1.202636108557e+03,6.954513689582e+04,7.074777300438e+04,4.703208573288e+01
622,1.509068801930e+04,4.746967185273e+04,6.256035987203e+04,5.153452368134e+01
626,1.002818731008e+03,6.165096212400e+04,6.265378085501e+04,4.718317637462e+01
629,7.208106145182e+02,8.569746763848e+04,8.641827825300e+04,4.364059601453e+01
632,8.796641032585e+02,1.260287278203e+05,1.269083919236e+05,3.797735602924e+01
634,8.862967094925e+02,9.190663090915e+04,9.279292761864e+04,4.288865944462e+01
635,4.373661393251e+01,9.008221565020e+04,9.012595226413e+04,4.346940486025e+01
637,7.869767185572e+02,2.290381492605e+04,2.369079164460e+04,6.547734689313e+01
639,8.437861277419e+02,6.442062877302e+04,6.526441490076e+04,4.762470090988e+01
641,2.127893245184e+03,7.422946181032e+04,7.635735505551e+04,4.552450937192e+01
644,1.172846420710e+03,5.483105271314e+04,5.600389913385e+04,5.102875892828e+01
647,4.268735710274e+02,7.830296235628e+04,7.872983592731e+04,4.559126579687e+01
648,4.278281901968e+03,4.508733054565e+04,4.936561244762e+04,5.449748777420e+01
651,6.492690057017e+02,7.218160146531e+04,7.283087047101e+04,4.638204811938e+01
652,2.595564182411e+03,5.386954916641e+04,5.646511334882e+04,5.187317417081e+01
654,2.742176082542e+03,5.640330881273e+04,5.914548489527e+04,5.004031628776e+01
658,1.502915378678e+02,5.050449321772e+04,5.065478475559e+04,5.288446482390e+01
662,4.855041867783e+02,7.637023296154e+04,7.685573714832e+04,4.529557277194e+01
666,8.136839116491e+02,9.210000737494e+04,9.291369128659e+04,4.366872372397e+01
667,5.207701703912e+02,5.432489232746e+04,5.484566249785e+04,5.084536116564e+01
668,4.445289140429e+03,4.041657852623e+04,4.486186766666e+04,5.519352696945e+01
669,1.101488933141e+02,7.460318571753e+04,7.471333461084e+04,4.721947081280e+01
670,1.582835721127e+03,2.270265000697e+04,2.428548572810e+04,6.424054777862e+01
672,3.505549446954e+03,6.222939311391e+04,6.573494256087e+04,4.870469139069e+01
